Date,Open,Low,High,Close,Volume,Amount
2010-07-16 00:00:00,1.133,1.031,1.256,1.075,250655,458339900.00
2010-07-23 00:00:00,1.048,1.038,1.304,1.304,228511,426882800.00
2010-07-30 00:00:00,1.313,1.255,1.364,1.274,254547,513792200.00
2010-08-06 00:00:00,1.283,1.221,1.348,1.331,201152,405183000.00
2010-08-13 00:00:00,1.332,1.266,1.449,1.414,246086,514091300.00
2010-08-20 00:00:00,1.411,1.288,1.477,1.297,187234,398938700.00
2010-08-27 00:00:00,1.297,1.222,1.338,1.256,101223,200278400.00
2010-09-03 00:00:00,1.268,1.168,1.294,1.228,122826,234652300.00
2010-09-10 00:00:00,1.226,1.168,1.270,1.262,134610,255835200.00
2010-09-17 00:00:00,1.268,1.031,1.281,1.045,154774,278126600.00
2010-09-24 00:00:00,1.045,0.941,1.054,0.947,37552,59309300.00
2010-10-01 00:00:00,0.948,0.879,0.976,0.913,59565,89967940.00
2010-10-08 00:00:00,0.911,0.911,0.961,0.954,15842,24352550.00
2010-10-15 00:00:00,0.967,0.937,1.029,0.947,115052,184182300.00
2010-10-22 00:00:00,0.936,0.883,1.297,1.273,269406,493602300.00
2010-10-29 00:00:00,1.312,1.256,1.544,1.311,405408,850259300.00
2010-11-05 00:00:00,1.283,1.132,1.360,1.190,312003,596502200.00
2010-11-12 00:00:00,1.195,1.092,1.299,1.092,310249,593858500.00
2010-11-19 00:00:00,1.092,1.092,1.217,1.206,197363,357954600.00
2010-11-26 00:00:00,1.202,1.145,1.288,1.234,256929,490215600.00
2010-12-03 00:00:00,1.222,1.145,1.281,1.233,234750,442941400.00
2010-12-10 00:00:00,1.228,1.080,1.228,1.127,140408,252027700.00
2010-12-17 00:00:00,1.138,1.127,1.288,1.228,209864,396342000.00
2010-12-24 00:00:00,1.236,1.111,1.318,1.121,182634,351171400.00
2010-12-31 00:00:00,1.117,1.001,1.156,1.057,106342,178259100.00
2011-01-07 00:00:00,1.076,1.039,1.084,1.054,69150,117114500.00
2011-01-14 00:00:00,1.066,0.973,1.107,0.987,82991,137844900.00
2011-01-21 00:00:00,0.977,0.891,1.003,0.907,56532,86581710.00
2011-01-28 00:00:00,0.909,0.885,0.981,0.957,49295,75026500.00
2011-02-04 00:00:00,0.949,0.944,0.975,0.954,22438,34813850.00
2011-02-11 00:00:00,0.946,0.922,1.159,1.143,113261,196332100.00
2011-02-18 00:00:00,1.137,1.061,1.179,1.075,197926,347988200.00
2011-02-25 00:00:00,1.064,1.035,1.118,1.077,103839,176663800.00
2011-03-04 00:00:00,1.076,1.022,1.111,1.039,114360,195024800.00
2011-03-11 00:00:00,1.039,1.031,1.088,1.043,101118,170362400.00
2011-03-18 00:00:00,1.035,0.970,1.049,0.982,80423,129409200.00
2011-03-25 00:00:00,0.979,0.963,1.014,1.012,53809,86148370.00
2011-04-01 00:00:00,1.011,0.978,1.059,1.044,121074,198152700.00
2011-04-08 00:00:00,1.036,1.002,1.069,1.051,88450,147464800.00
2011-04-15 00:00:00,1.043,0.975,1.046,0.988,98771,160324000.00
2011-04-22 00:00:00,0.971,0.952,0.989,0.979,59180,92949380.00
2011-04-29 00:00:00,0.982,0.850,0.982,0.871,47972,71432300.00
2011-05-06 00:00:00,0.871,0.848,0.927,0.907,48291,70709170.00
2011-05-13 00:00:00,0.904,0.887,0.938,0.897,31781,47268510.00
2011-05-20 00:00:00,0.903,0.852,0.925,0.861,39019,56854350.00
2011-05-27 00:00:00,0.854,0.727,0.862,0.758,70247,93593890.00
2011-06-03 00:00:00,0.772,0.739,0.803,0.792,43752,57696700.00
2011-06-10 00:00:00,0.791,0.742,0.805,0.763,24457,32247850.00
2011-06-17 00:00:00,0.750,0.698,0.786,0.702,38824,49625730.00
2011-06-24 00:00:00,0.703,0.682,0.753,0.742,51917,64294200.00
2011-07-01 00:00:00,0.743,0.743,0.784,0.779,54154,70251780.00
2011-07-08 00:00:00,0.784,0.780,0.828,0.803,66111,88657390.00
2011-07-15 00:00:00,0.799,0.775,0.878,0.844,63817,87062560.00
2011-07-22 00:00:00,0.840,0.802,0.861,0.805,39075,53558030.00
2011-07-29 00:00:00,0.802,0.743,0.870,0.870,58594,79574300.00
2011-08-05 00:00:00,0.872,0.784,0.912,0.803,201976,286557200.00
2011-08-12 00:00:00,0.793,0.682,0.832,0.797,109702,141838100.00
2011-08-19 00:00:00,0.797,0.751,0.840,0.782,96359,130221300.00
2011-08-26 00:00:00,0.776,0.776,0.887,0.871,125725,174507600.00
2011-09-02 00:00:00,0.861,0.807,0.878,0.826,79111,110209500.00
2011-09-09 00:00:00,0.822,0.766,0.822,0.783,35801,47562220.00
2011-09-16 00:00:00,0.756,0.752,0.792,0.774,20160,26188380.00
2011-09-23 00:00:00,0.777,0.739,0.792,0.770,31165,40195460.00
2011-09-30 00:00:00,0.760,0.706,0.802,0.720,39243,50502840.00
2011-10-14 00:00:00,0.723,0.698,0.778,0.767,33816,42919840.00
2011-10-21 00:00:00,0.777,0.699,0.871,0.704,211277,284799300.00
2011-10-28 00:00:00,0.704,0.682,0.840,0.818,165390,217779500.00
2011-11-04 00:00:00,0.817,0.804,0.985,0.926,344785,505488900.00
2011-11-11 00:00:00,0.924,0.902,1.037,0.947,338436,527457800.00
2011-11-18 00:00:00,0.966,0.874,0.981,0.874,177993,270973400.00
2011-11-25 00:00:00,0.871,0.842,0.898,0.870,143420,205071900.00
2011-12-02 00:00:00,0.877,0.767,0.882,0.777,130563,178964200.00
2011-12-09 00:00:00,0.781,0.712,0.807,0.772,95793,122779600.00
2011-12-16 00:00:00,0.758,0.716,0.884,0.884,152134,203719900.00
2011-12-23 00:00:00,0.862,0.764,0.917,0.878,242922,344101900.00
2011-12-30 00:00:00,0.905,0.748,0.950,0.786,159636,219371300.00
2012-01-06 00:00:00,0.796,0.621,0.803,0.674,92264,111675200.00
2012-01-13 00:00:00,0.673,0.642,0.786,0.672,143511,177488300.00
2012-01-20 00:00:00,0.648,0.644,0.734,0.710,81167,96671420.00
2012-02-03 00:00:00,0.718,0.676,0.742,0.739,67272,82069170.00
2012-02-10 00:00:00,0.733,0.709,0.788,0.773,99814,127133800.00
